POST_ID,POST_TOPIC_TAGS,POST_CROP_TAGS,POST_TYPE
1a10b40e-c803-432f-be7a-db329d58c4a7,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Lemon""
  ]
]",content
b7a76c74-c8b4-4d29-ab78-6bdddc1a7fa1,"[
  [
    ""Agriculture News""
  ]
]",[],content
9966cb40-19a9-42ba-b447-390f8ea7be6c,"[
  [
    ""Agriculture News""
  ]
]","[
  [
    ""Sugarcane""
  ]
]",content
d720bb1e-5b98-4d6d-b7de-2595aeebc591,"[
  [
    ""fish farming""
  ]
]",[],infographic
ec0d4377-400f-4de6-8406-2f122ae046de,"[
  [
    ""animal husbandry""
  ]
]",[],infographic
98628ad0-580f-4da7-8c04-22c6e5a66561,[],"[
  [
    ""toor daal""
  ]
]",content
acb6eb7e-e793-46f7-9f40-50ee23e98acb,"[
  [
    ""farm machinery""
  ]
]",[],content
29c6a880-e777-4ffe-baef-cbc85a670e42,"[
  [
    ""Agriculture News""
  ]
]",[],content
51e0f4fd-c195-4bf3-bb32-8d1a9df9729c,"[
  [
    ""Agriculture News""
  ]
]",[],content
91e8f8ac-3687-47f2-93c2-1a18a199c7d6,"[
  [
    ""weed management""
  ]
]","[
  [
    ""Wheat""
  ]
]",video
0626acbc-3e50-4621-ab33-b1326f815c70,[],"[
  [
    ""Moringa""
  ]
]",content
703e3d99-dcbf-4885-8123-c1ec4e288a0b,"[
  [
    ""Success Story""
  ]
]",[],content
72557179-bf35-4e8d-bf3f-386446f46dff,"[
  [
    ""Agriculture News""
  ]
]",[],video
8026ef01-d0b8-4a82-8ae8-d8d99679aec6,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""peanut""
  ]
]",content
88803482-f4fd-479e-9cb1-5176c9afb478,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Karela""
  ]
]",content
627dec64-4f78-4efe-a416-62eb1bb64158,"[
  [
    ""Success Story""
  ]
]",[],content
d9147e8b-ec48-4593-8b9e-6a3e87154cb9,"[
  [
    ""seeds""
  ]
]","[
  [
    ""potato""
  ]
]",infographic
c13363e0-ef35-4394-8fa7-eb33d243a5e2,"[
  [
    ""Agriculture News"",
    ""subsidy""
  ]
]",[],content
33070f8f-975a-41a5-8ba1-4535c8f61557,"[
  [
    ""Government Schemes"",
    ""Agriculture News""
  ]
]",[],content
39471dff-fe37-4e35-bcc1-627b6209e331,"[
  [
    ""farm machinery""
  ]
]",[],content
d048de56-cfb0-4be8-bb76-3cf4251471f7,"[
  [
    ""Success Story""
  ]
]",[],content
0b4d02dc-704c-4d3f-b467-b02b8c4de211,[],"[
  [
    ""lemongrass""
  ]
]",content
6e078cc9-dfc4-4e0e-beba-af40112a0406,"[
  [
    ""Agriculture News""
  ]
]",[],content
a00098d3-58ee-4a18-834f-7d62ac416a9f,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""cotton""
  ]
]",content
1e0e46c2-26d7-4515-a361-0b7413bf46a0,"[
  [
    ""animal protection"",
    ""animal husbandry""
  ]
]",[],infographic
3e975963-b0ce-4bb1-84df-92022e43b6ae,"[
  [
    ""subsidy"",
    ""Agriculture News""
  ]
]",[],content
2a3dd7e9-0ec8-4951-8a75-20cf4adf09c1,[],"[
  [
    ""Alovera""
  ]
]",content
92bb9bd3-0911-4a44-9dbc-b6cf3ab07153,"[
  [
    ""Fertilizer""
  ]
]","[
  [
    ""Capsicum""
  ]
]",infographic
293e7bf0-4f96-48f4-a338-2fc26648f626,"[
  [
    ""Agriculture News""
  ]
]","[
  [
    ""soyabean""
  ]
]",content
ba8551dc-3e52-4af0-a1a0-03c9399b6465,[],"[
  [
    ""cumin""
  ]
]",content
bd52a0bc-9e6a-4a0b-9ae7-d622956c9e33,"[
  [
    ""Government Schemes""
  ]
]",[],content
a0ea633d-99f3-4881-a00c-a8250144e6e3,"[
  [
    ""Agriculture News""
  ]
]",[],content
bdff4076-d7b6-4072-900b-815679a337af,"[
  [
    ""Agriculture News""
  ]
]",[],video
08524a8f-05a5-457d-b592-bce8ca17568f,"[
  [
    ""animal protection"",
    ""animal husbandry""
  ]
]",[],infographic
9fe9e23f-c41a-40ea-b0da-530b2a687fb9,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""chilli""
  ]
]",content
f5bf640f-4ec5-4596-b476-765921596c8c,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""cauliflower""
  ]
]",content
c9900b8b-0138-4f5a-a8a5-e86f0718dc59,"[
  [
    ""animal husbandry""
  ]
]",[],infographic
